fact,priority,stylized_fact,metric,normal,stress,note
fact08,P0-C,Order-flow imbalance -> short-horizon price response,"impact coefficient, thinnest / thickest depth quartile",1.91257,1.952,CKS predicts > 1 (inverse in depth)
fact09,P0-C,Trade-response function R(l),R(1) immediate response (bps),0.248228,0.269062,
fact09,P0-C,Trade-response function R(l),R(100) (bps),0.826577,0.809461,
fact09,P0-C,Trade-response function R(l),R(1000) (bps),0.639165,0.916746,
fact09,P0-C,Trade-response function R(l),R(100)/R(1) growth factor,3.32992,3.00845,slow growth = adaptive liquidity absorbing persistent flow
fact09,P0-C,Trade-response function R(l),mean effective half-spread paid (bps),0.12546,0.108304,
fact10,P0-C,Long memory of order signs,sign-ACF decay exponent gamma (aggressive orders),0.543346,0.431409,"R2=0.774, lags 10-1000; literature ~0.6"
fact10,P0-C,Long memory of order signs,sign-ACF decay exponent gamma (individual fills),0.656923,0.500039,R2=0.927
fact10,P0-C,Long memory of order signs,C(1) sign autocorrelation,0.231525,0.26293,
fact10,P0-C,Long memory of order signs,C(100) sign autocorrelation,0.0111171,0.0272911,long memory if still well above the noise floor
fact10,P0-C,Long memory of order signs,long memory (gamma < 1),1,1,1 = yes
fact11,P0-C,Persistent order flow with approximately diffusive prices,mid-return ACF lag 1 (quote-event time),-0.0682517,-0.0956882,95% band +/-0.0008
fact11,P0-C,Persistent order flow with approximately diffusive prices,mid-return ACF lag 1 (aggressive-order time),0.111699,0.126277,
fact11,P0-C,Persistent order flow with approximately diffusive prices,"trade-price change ACF lag 1, order level (raw)",0.0738354,0.0578874,sign persistence pushes this positive; see the split below
fact11,P0-C,Persistent order flow with approximately diffusive prices,"trade-price change ACF lag 1, after a sign flip (bid-ask bounce)",-0.0114102,-0.0442627,"the Roll bounce, isolated from order-sign persistence"
fact11,P0-C,Persistent order flow with approximately diffusive prices,"trade-price change ACF lag 1, after a repeated sign",0.1327,0.122027,continuation of a sweep in the same direction
fact11,P0-C,Persistent order flow with approximately diffusive prices,"trade-price change ACF lag 1, fill level",0.0741216,0.042173,positive by construction: sweeps walk the book one way
fact11,P0-C,Persistent order flow with approximately diffusive prices,variance ratio at k>=100 (quote-event time),2.65817,2.58573,1.0 = diffusive; event time compresses busy trending periods
fact11,P0-C,Persistent order flow with approximately diffusive prices,aggressor sign / contemporaneous mid-return correlation,0.373865,0.410066,"this is impact (R(1)), not predictability"
fact11,P0-C,Persistent order flow with approximately diffusive prices,aggressor sign / *subsequent* mid-return correlation,0.135453,0.160714,the predictability that must stay small even though the sign series itself is strongly persistent
fact11,P0-C,Persistent order flow with approximately diffusive prices,mid-return ACF lag 1 (1s bars),0.088139,0.118521,"noise floor +/-0.0024, n=691,199"
fact11,P0-C,Persistent order flow with approximately diffusive prices,variance ratio at k>=10 (1s bars),1.68627,1.78128,the clock-time diffusivity the literature refers to
fact11,P0-C,Persistent order flow with approximately diffusive prices,mid-return ACF lag 1 (60s bars),0.03819,0.0240776,"noise floor +/-0.0183, n=11,519"
fact11,P0-C,Persistent order flow with approximately diffusive prices,variance ratio at k>=10 (60s bars),0.944521,1.04243,the clock-time diffusivity the literature refers to
fact12,P0-C / P1,Selective liquidity taking / timing of large trades,depth seen by top size decile / unconditional,0.784833,0.78369,> 1 means large orders time the book
fact12,P0-C / P1,Selective liquidity taking / timing of large trades,depth seen by bottom size decile / unconditional,0.880591,0.89025,
fact12,P0-C / P1,Selective liquidity taking / timing of large trades,depth seen by top size decile / depth seen by the average order,0.909296,0.910963,event-weighted control: > 1 means large orders pick better books than other orders do
fact12,P0-C / P1,Selective liquidity taking / timing of large trades,depth 150 s before a large order / unconditional,0.982507,0.970627,Schnaubelt et al. report liquidity improving 2-3 min ahead
fact12,P0-C / P1,Selective liquidity taking / timing of large trades,depth at the moment of a large order / 150 s before,0.819166,0.787657,> 1 means depth built up into the trade
fact13,P1,Queue imbalance predicts the near-term price direction,directional accuracy at h=1 quote event,0.693179,0.680417,0.5 = no information
fact13,P1,Queue imbalance predicts the near-term price direction,best directional accuracy,0.770133,0.766003,at h=20 quote events
fact13,P1,Queue imbalance predicts the near-term price direction,imbalance / forward-return correlation at h=10,0.324314,0.339349,
fact14,P1,Volatility clustering at short horizons,|return| ACF decay exponent (quote-event time),0.602205,0.492376,R2=0.877
fact14,P1,Volatility clustering at short horizons,squared-return ACF decay exponent (1s bars),0.271681,0.338139,"lags 2-200, n=691,200 bars, R2=0.76; no literature target"
fact14,P1,Volatility clustering at short horizons,squared-return ACF decay exponent (60s bars),0.408523,0.757111,"lags 2-200, n=11,520 bars, R2=0.64; literature 0.16"
fact14,P1,Volatility clustering at short horizons,|return| ACF at lag 100 (quote-event time),0.0191717,0.0254314,positive and slowly decaying = clustering
fact16,P1,BTC trade-size distribution,median aggressive-order size (BTC),0.00127404,0.00135105,
fact16,P1,BTC trade-size distribution,share of aggressive orders below 0.01 BTC,0.759088,0.767007,many small trades
fact16,P1,BTC trade-size distribution,"Hill tail index alpha (top 5%, aggressive orders)",1.06442,0.900811,threshold 0.1752 BTC; alpha < 3 = heavy tail
fact16,P1,BTC trade-size distribution,99.9th pct / median size ratio,3280.87,2960.66,
fact16,P1,BTC trade-size distribution,mean aggressive-order notional (USD),3590.32,3150.86,
fact16,P1,BTC trade-size distribution,share of orders on the 0.1 BTC grid,0.119164,0.120756,round-number clustering
fact17,P2,24/7 time-of-day liquidity and activity structure,hourly spread: max/min ratio,2.38157,3.11014,
fact17,P2,24/7 time-of-day liquidity and activity structure,hourly depth: max/min ratio,1.14507,1.17814,
fact17,P2,24/7 time-of-day liquidity and activity structure,hourly volume: max/min ratio,5.63046,5.73912,
fact17,P2,24/7 time-of-day liquidity and activity structure,edge-vs-middle ratio of hourly volume (U-shape score),0.621063,0.801272,~1 = no equity-like U-shape
fact17,P2,24/7 time-of-day liquidity and activity structure,busiest UTC hour by volume,13,14,hour of day
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",pseudo-metaorders identified,20846,28140,"gap 1.0s, >= 2 children"
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",impact concavity exponent delta (proxy),0.182544,0.154362,"se 0.027, R2=0.761; square root = 0.5"
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",power-law R2 minus logarithmic R2,-0.183699,-0.102204,positive favours the power law (Zarinelli et al. caveat)
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",trajectory concavity: impact at 50% executed / impact at 100%,0.510048,0.490386,"0.5 = linear build-up, ~0.71 = square-root build-up"
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",impact 10 min after completion / peak (raw),1.30757,1.34642,includes market drift and the correlated flow that follows
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",impact 10 min after completion / peak (drift-adjusted),1.20805,1.46154,"random-time control removed; Zarinelli et al. ~2/3 in US equities, Donier-Bonart near-full decay for the uninformed part of BTC impact"
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",median pseudo-metaorder size (BTC),0.00848949,0.00757171,
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",Q/ADV explored: 1st percentile,1.31243e-07,1.32179e-07,Donier-Bonart span ~4 decades of metaorder size
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",Q/ADV explored: 99th percentile,0.0041648,0.00325589,decades covered = log10(p99/p01)
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",decades of size covered by the proxy,4.50152,4.39151,a narrow range flattens any concavity estimate
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",median participation rate of the proxy,1,1,mechanically high: runs are defined by same-signed flow
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",average daily volume (BTC),1273.44,1207.99,
fact01_03,P0-V (proxy),"Metaorder impact proxy: concavity, trajectory and decay",daily volatility (bps),142.99,149.208,from 60 s mid bars
fact_meta_compare,P0-V proxy,Published metaorder proxy comparison,local_run_1s: mean descriptive delta,0.197,0.369,all signed; seed sensitivity in metaorder_comparison
fact_meta_compare,P0-V proxy,Published metaorder proxy comparison,random_n6: mean descriptive delta,0.211333,0.213333,all signed; seed sensitivity in metaorder_comparison
fact_meta_compare,P0-V proxy,Published metaorder proxy comparison,threshold_wait5s: mean descriptive delta,0.108,0.138,all signed; seed sensitivity in metaorder_comparison
fact18,P0-C,Price-diffusion scaling sigma(tau) ~ tau^H,"Hurst exponent H (0.2-60 s, all lags)",0.561924,0.573512,"se 0.0013, R2=1.000"
fact18,P0-C,Price-diffusion scaling sigma(tau) ~ tau^H,Hurst exponent H (tau >= 2 s),0.562935,0.56707,"se 0.0026, feeds the metaorder scaling closure"
fact19,P0-C,"Event arrivals, clustering, and market summary statistics","mean interarrival, aggressive orders (ms)",3740.23,3527.61,median 1602.2 ms; ZJ p3 reports 185.1 / 100.9 ms for BTC on 2026-08-25 (different window and event definition)
fact19,P0-C,"Event arrivals, clustering, and market summary statistics","mean quoted spread (bps), time-weighted",0.0280579,0.0320767,0.2050 USD; ZJ p3 BTC: 0.1 bps / 0.777 USD
fact19,P0-C,"Event arrivals, clustering, and market summary statistics",mean total volume at best quote (BTC),2.08518,1.6553,ZJ p3 BTC: 0.2868 BTC
fact20,P0-C,"Book shape: tick spread, L1 depth, depth profile",share of time the spread is one tick,0.97605,0.968899,mean 2.05 ticks; ZJ p5 BTC: 81.4%
fact20,P0-C,"Book shape: tick spread, L1 depth, depth profile","median L1 depth, bid side (BTC)",0.128337,0.128043,time-weighted over every top-of-book state
fact20,P0-C,"Book shape: tick spread, L1 depth, depth profile",ask/bid depth ratio in the 0-1 bps shell,1.20328,1.13314,>1 means the offer side is the thicker one at the touch
fact08b,P0-C,OFI vs TFI over clock windows; impact coefficient vs depth,R2 of OFI alone at 10 s,0.522529,0.569828,ZJ p8 BTC: 0.32%
fact08b,P0-C,OFI vs TFI over clock windows; impact coefficient vs depth,R2 of TFI alone at 10 s (signed volume),0.0453318,0.0356869,ZJ p9 BTC: ~0.166
fact08b,P0-C,OFI vs TFI over clock windows; impact coefficient vs depth,R2 of TFI alone at 10 s (signed trade count),0.211493,0.233902,strongest definition; plotted in the R2 panel
fact08b,P0-C,OFI vs TFI over clock windows; impact coefficient vs depth,R2 of the joint model at 10 s (count TFI),0.556388,0.599235,incremental power of the count TFI given OFI
fact08b,P0-C,OFI vs TFI over clock windows; impact coefficient vs depth,OFI slope at 10 s (USD per BTC),1.11382,1.16363,ZJ p8 BTC: -9.60e-01 (t=-5.3)
fact08c,P0-C,"Real-time OFI across horizons, and TFI under several definitions",real-time OFI R2 at 10 s,0.522529,0.569828,ZJ p8 BTC: 0.32%
fact08c,P0-C,"Real-time OFI across horizons, and TFI under several definitions",real-time OFI R2 at 600 s,0.457881,0.515813,beyond ZJ's grid
fact08c,P0-C,"Real-time OFI across horizons, and TFI under several definitions",real-time OFI beta at 10 s (USD per BTC),1.11382,1.16363,t = 49.5; ZJ p8 BTC: -0.960 (t=-5.3)
fact08c,P0-C,"Real-time OFI across horizons, and TFI under several definitions",TFI R2 at 10 s (signed_volume_btc),0.0453318,0.0356869,
fact08c,P0-C,"Real-time OFI across horizons, and TFI under several definitions",TFI R2 at 10 s (signed_notional_usd),0.0453538,0.0355571,
fact08c,P0-C,"Real-time OFI across horizons, and TFI under several definitions",TFI R2 at 10 s (signed_trade_count),0.211493,0.233902,closest to ZJ's 0.166
fact08c,P0-C,"Real-time OFI across horizons, and TFI under several definitions",TFI R2 at 10 s (signed_sqrt_volume),0.0926115,0.0934056,
fact09b,P0-C,"Lag-l impact in price units, R(v,1) and sign-conditioned R+-(1)",R+(1) after a same-sign trade (USD),1.76514,1.87227,ZJ p14 BTC: 0.1157
fact09b,P0-C,"Lag-l impact in price units, R(v,1) and sign-conditioned R+-(1)",R-(1) after an opposite-sign trade (USD),1.3741,1.45278,ZJ p14 BTC: 0.0041
fact09b,P0-C,"Lag-l impact in price units, R(v,1) and sign-conditioned R+-(1)",R+(1) - R-(1) (USD),0.39104,0.419493,literature expects < 0; ZJ found > 0 on 3 of 4 pairs
fact09b,P0-C,"Lag-l impact in price units, R(v,1) and sign-conditioned R+-(1)",R(80) / R(1) growth factor,3.32834,2.96956,slow growth = adaptive liquidity absorbing persistent flow
fact_meta_nb,P0-V proxy,Metaorder impact battery (proxy.ipynb) over three proxy constructions,current_run: size exponent delta_2 (all signed),0.1653,0.172442,seed spread nan; positive-only filter gives 0.359
fact_meta_nb,P0-V proxy,Metaorder impact battery (proxy.ipynb) over three proxy constructions,current_run: single-slope size exponent (all signed),0.200276,0.186316,one power law on the same bins and weights; stable companion to the free-breakpoint fit
fact_meta_nb,P0-V proxy,Metaorder impact battery (proxy.ipynb) over three proxy constructions,current_run: duration exponent gamma,0.58117,0.637285,H-delta_2*nu = 0.319
fact_meta_nb,P0-V proxy,Metaorder impact battery (proxy.ipynb) over three proxy constructions,current_run: decay exponent beta,,,propagator fitted from the observed peak on z
fact_meta_nb,P0-V proxy,Metaorder impact battery (proxy.ipynb) over three proxy constructions,maitrier_threshold: size exponent delta_2 (all signed),0.135972,-0.03009,seed spread 0.274; positive-only filter gives -0.036
fact_meta_nb,P0-V proxy,Metaorder impact battery (proxy.ipynb) over three proxy constructions,maitrier_threshold: single-slope size exponent (all signed),0.155612,0.155724,one power law on the same bins and weights; stable companion to the free-breakpoint fit
fact_meta_nb,P0-V proxy,Metaorder impact battery (proxy.ipynb) over three proxy constructions,maitrier_threshold: duration exponent gamma,0.135287,0.0955594,H-delta_2*nu = 0.492
fact_meta_nb,P0-V proxy,Metaorder impact battery (proxy.ipynb) over three proxy constructions,maitrier_threshold: decay exponent beta,0.0311765,0.0464706,propagator fitted from the observed peak on z
fact_meta_nb,P0-V proxy,Metaorder impact battery (proxy.ipynb) over three proxy constructions,random_n6: size exponent delta_2 (all signed),0.211957,0.195898,seed spread 0.006; positive-only filter gives 0.124
fact_meta_nb,P0-V proxy,Metaorder impact battery (proxy.ipynb) over three proxy constructions,random_n6: single-slope size exponent (all signed),0.229802,0.216215,one power law on the same bins and weights; stable companion to the free-breakpoint fit
fact_meta_nb,P0-V proxy,Metaorder impact battery (proxy.ipynb) over three proxy constructions,random_n6: duration exponent gamma,0.247207,0.200994,H-delta_2*nu = 0.544
fact_meta_nb,P0-V proxy,Metaorder impact battery (proxy.ipynb) over three proxy constructions,random_n6: decay exponent beta,0.142157,0.141765,propagator fitted from the observed peak on z
fact22,P1,Order-timing regularity: fixed intervals and algorithmic clocks,strongest periodic clock (s),1,2.5,per-day Rayleigh z=266 vs iid null 1 and control median 2.1
fact22,P1,Order-timing regularity: fixed intervals and algorithmic clocks,spectral fundamental period (s),10,10,explains 15 of 15 strong lines as a harmonic comb
fact22,P1,Order-timing regularity: fixed intervals and algorithmic clocks,candidate periods significant vs jitter null,17,17,of 17; controls flagged: 2 of 6
fact22,P1,Order-timing regularity: fixed intervals and algorithmic clocks,peak arrival rate at the clock phase (x uniform),2.20729,3.12994,"folded at 2.5s, best day; median across days 2.65"
fact22,P1,Order-timing regularity: fixed intervals and algorithmic clocks,largest round-gap excess (x local baseline),1.90062,1.44444,at 2500 ms
fact22,P1,Order-timing regularity: fixed intervals and algorithmic clocks,repeated-clip groups more regular than uniform (p<0.01),2,2,"of 205 groups, 2 expected by chance; median CV 1.84 (1 = Poisson)"
fact22b,P1,Clock-time periodicity in the published convention (replication),activity concentrated in the first 100 ms of the second [Muravyev & Picard],1.05626,1.05242,"+5.9% vs baseline 0.994x, 1.5 sigma of across-day noise -> NOT replicated"
fact22b,P1,Clock-time periodicity in the published convention (replication),trade count rises in the FIRST second of the minute [Shynkevich],1.65254,1.25612,"+25.6% vs baseline 1.000x, 15.4 sigma of across-day noise -> replicated"
fact22b,P1,Clock-time periodicity in the published convention (replication),trade count rises in the LAST second of the minute [Shynkevich],0.828776,0.721172,"-27.9% vs baseline 1.000x, -13.9 sigma of across-day noise -> NOT replicated"
fact22b,P1,Clock-time periodicity in the published convention (replication),"quarter-hour openings carry ~26% more trades [The Quarter-Hour Effect, arXiv:2607.09426]",1.29624,1.3254,"+35.7% vs baseline 0.977x, 10.5 sigma of across-day noise -> replicated"
fact22b,P1,Clock-time periodicity in the published convention (replication),"  ... of which: top of the hour (minute 0) alone [The Quarter-Hour Effect, arXiv:2607.09426]",2.01817,2.14821,"+119.9% vs baseline 0.977x, 12.6 sigma of across-day noise -> replicated"
fact22b,P1,Clock-time periodicity in the published convention (replication),"  ... of which: minutes 15, 30, 45 alone [The Quarter-Hour Effect, arXiv:2607.09426]",1.0556,1.05113,"+7.6% vs baseline 0.977x, 2.4 sigma of across-day noise -> replicated"
